epoch,train_loss,dev_loss,dev_exact_match,dev_token_accuracy
1,1.927321194181379,1.8575401483698095,0.0,0.65110935678212
2,0.9742625587823375,0.9332198817679223,0.0,0.8070482439889559
3,0.7155884138795714,0.697630728178836,0.0,0.8622322614732363
4,0.5696617602117804,0.5831080066396835,0.0,0.8818492332756405
5,0.4786608948612845,0.5112339188443854,0.0,0.89847449213346
6,0.40827563270827794,0.46769152898737726,0.0,0.911547760582653
7,0.34748255049945503,0.39213585980395055,0.0,0.9256301519386143
8,0.29764086967272474,0.3464672338772327,0.0,0.9334393410461106
9,0.2554224225464246,0.3112141290243636,0.0,0.943951605095096
10,0.2188314529740258,0.2730243793351853,0.0,0.9507631362616769
11,0.18873514694883334,0.24076385724734753,0.0,0.9581617242556724
12,0.16238220621221114,0.22602068513948867,0.0,0.9632353390610845
13,0.14258058828036516,0.22247003153600592,0.0,0.965648948280282
14,0.12736179736868436,0.20451692182649958,0.0,0.969578654863873
15,0.11025583949803516,0.18397545402354382,0.0,0.9730619996148084
16,0.10005024934545258,0.15453296935463207,0.0,0.9758003618908395
17,0.08612437111800475,0.17606675700145832,0.0,0.9753682845053043
18,0.07959945057056203,0.15583622627990676,0.0006666666666666666,0.9782075946173828
19,0.07048832699286424,0.16515478620583074,0.0003333333333333333,0.978850303370841
20,0.06282699865270529,0.14141275836749279,0.001,0.981034559766412
